WAFER_ID,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,CENTER_AIR_BAG_PRESSURE,RETAINER_RING_PRESSURE,RIPPLE_AIR_BAG_PRESSURE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,WAFER_ROTATION,STAGE_ROTATION,HEAD_ROTATION,DRESSING_WATER_STATUS,EDGE_AIR_BAG_PRESSURE
-4230160598,0.0817335405925561,0.820164808530524,0.5718414678374821,0.0422256097560974,0.33473719209676367,0.38113523613169226,0.36666787927292166,0.1400095450829132,0.33720559790717247,0.08173354059266158,0.08173354059255648,0.1377633420664447,0.9946524064171123,0.28640104181097853,0.3863814616757438,0.19979122225732937,0.8336007130124774,0.22459893048128343,0.25303163897462544
-4230160428,0.5612175941686424,0.185672700314853,0.7763956985213536,0.1591536781009528,0.33673214928833306,0.3840474196250232,0.3687535620308734,0.1529619096424898,0.3360109227450025,0.5612175941697943,0.5612175941686686,0.1372967734988143,0.9946524064171123,0.28863151478207916,0.3941176470590614,0.20456481053798117,0.8329768270944735,1.0,0.25534473084560916
-4230160424,0.4608174043161789,0.11245758603971852,0.0871432562036809,0.13612804878048826,0.3400948076277167,0.3865675467828753,0.3703140830800408,0.14249443571106177,0.33929379809933624,0.4608174043170263,0.4608174043161197,0.13224689418812868,0.9893617021276596,0.28640723183772504,0.3828723404257431,0.19296055916107618,0.8346631205673753,1.0,0.2578705180192993
-4230160408,0.46882197581652374,0.1173360015137795,0.3077382136463666,0.13780487804878036,0.3384084674839907,0.3829263578377671,0.36693465264893876,0.14212784934416692,0.3357150984191096,0.46882197581761104,0.46882197581655044,0.13973728600644686,1.0,0.29066803358177945,0.3949376114084089,0.2030296800785366,0.8326203208556152,0.22994652406417113,0.255390534645094
-4228160702,0.06569153917938843,0.809521244809153,0.12958910770716703,0.03887921022067379,0.3409545741142055,0.3856824121884358,0.37109023503581356,0.13717714997890576,0.343194866599837,0.06569153917953059,0.0656915391793944,0.13566634707567204,0.9947089947089947,0.2889492008662995,0.3789770723105926,0.20429672950868352,0.8315696649029971,0.2222222222222222,0.2580016541475383
-4228160690,0.046146422573203984,0.793530117129731,0.5877922376953291,0.03385028883183577,0.34179165530069544,0.3892200380469242,0.3743167442415565,0.14621530050437,0.3404031355121357,0.04614642257443734,0.046146422573340756,0.13776050864736678,0.9947368420056889,0.28929642759749086,0.3749824561412586,0.0,0.8249999999999998,0.21578947368421053,0.25977685110534965
-4228160686,0.08563699970469593,0.8225884634022664,0.679504767518967,0.04298780487804874,0.3363982925706386,0.3803483363505831,0.3659135502214706,0.14361466241647128,0.33211332818942346,0.08563699970481436,0.08563699970469844,0.10936467642652835,1.0,0.2882761953341035,0.3746804835926326,0.1991934378223117,0.8333333333333334,1.0,0.25343111693003134
-4228160682,0.06650697906650012,0.8104701890448758,0.15216380766642407,0.03917682926829264,0.3367875647658551,0.3838441850302758,0.36921504353036577,0.1507347506547752,0.3362473817667565,0.06650697906664003,0.06650697906650194,0.10825190388421106,1.0,0.283041155467261,0.3695336787566887,0.19356716220985373,0.8352331606217622,0.16580310880829016,0.25587200852108194
-4228160678,0.06962414668994757,0.8119420544511251,0.23801057622151534,0.03964129192073188,0.33990446891094034,0.3872364457831324,0.372307256235828,0.13789891185076825,0.34242021276667844,0.06962414669009348,0.06962414668995061,0.13910444630864507,1.0,0.2934207685664945,0.375763888889153,0.2094436470292025,0.8366319444444441,1.0,0.2585876159888085
-4228160670,0.08897640349124959,0.825496849249135,0.771593609561518,0.043902439024390255,0.3388768176490251,0.3851664723409767,0.3707361080632974,0.1486478514288412,0.33708533516425887,0.08897640349147222,0.08897640349125215,0.1420581655479938,1.0,0.2899743718313002,0.39086021505400254,0.2013002002370378,0.8310035842293902,0.22580645161290322,0.2573507402548186
-4228160662,0.08625539789216584,0.8230731943773996,0.6964908015226942,0.04314024390243892,0.3393782383409914,0.38461146171989485,0.3699744448043771,0.13886082759528268,0.33580997410854196,0.08625539789229315,0.08625539789216552,0.1387912361065757,1.0,0.2905118293719332,0.3774250440919212,0.20203557098191477,0.8339506172839503,0.2275132275132275,0.2567327192597245
-4228160658,0.15730770209073866,0.8798134990879184,0.6622217923760344,0.0611280487804878,0.354593078177198,0.40378086933368834,0.38874481652697945,0.14753038269873545,0.35864582108912485,0.15730770209115205,0.15730770209074665,0.12516222329331209,0.994475138121547,0.29558011049723787,0.40224677716410967,0.20679478020517286,0.833885819521178,0.1878453038674033,0.2695825002664139
-4228160642,0.08837717585138158,0.8250121182740032,0.7551318120235339,0.043751613111369346,0.33299065164254804,0.37557212978899684,0.3600763056545374,0.14129151620007518,0.32895418214625277,0.08837717585157417,0.08837717585137822,0.10811050743927428,1.0,0.28338405022342894,0.38525573192260504,0.21071831406303637,0.8324514991181646,1.0,0.25143038419298164
